topic,term,beta
1,salsa,3.575915974661756e-8
2,salsa,1.9469918932388402e-9
3,salsa,1.1457410965758845e-4
4,salsa,0.09245011860774084
5,salsa,0.15553337462947467
6,salsa,3.2668027146466566e-5
7,salsa,0.008882343602206627
8,salsa,5.161279078553193e-6
9,salsa,0.021836969586322114
10,salsa,0.008098740148172839
1,chicken,1.2090538973193788e-14
2,chicken,2.1115008931920378e-32
3,chicken,4.6459311209410436e-8
4,chicken,0.01207154571857965
5,chicken,0.09036313376408862
6,chicken,0.032048896072003175
7,chicken,0.01642983130767092
8,chicken,0.025739898932394253
9,chicken,0.06039051000901423
10,chicken,3.2524242334571414e-7
1,taco,1.985588687100717e-46
2,taco,4.686192982184238e-53
3,taco,1.183275286649336e-17
4,taco,4.334940035569081e-19
5,taco,0.014563147674408139
6,taco,6.965220656261058e-13
7,taco,1.1251852984680792e-4
8,taco,1.6219285416185567e-17
9,taco,4.0621676184097087e-16
10,taco,0.06330114033542428
1,cheese,0.07573221175267852
2,cheese,0.05438137938547437
3,cheese,2.318680731249806e-6
4,cheese,0.03744377101626091
5,cheese,0.050230312008615836
6,cheese,0.05060729718450501
7,cheese,7.248554032559387e-4
8,cheese,0.07065519082048788
9,cheese,0.021576267081972928
10,cheese,0.06207366179211707
1,sauce,3.034874395445959e-4
2,sauce,0.014557919094245728
3,sauce,0.015189378801642525
4,sauce,0.002224608816100449
5,sauce,0.046040326339276266
6,sauce,0.02774279989990587
7,sauce,0.04471530016854358
8,sauce,0.002096412464709405
9,sauce,0.006793054562886757
10,sauce,0.0435138199645786
1,shredded,4.186133633818889e-23
2,shredded,5.25595127911473e-7
3,shredded,1.1301097286354897e-8
4,shredded,1.17977004012094e-10
5,shredded,2.407363799277386e-19
6,shredded,0.008100418478182507
7,shredded,0.03585058300767231
8,shredded,2.686144523806517e-16
9,shredded,5.558241323804943e-6
10,shredded,0.07159805676224285
1,crunchy,2.3399527538929406e-81
2,crunchy,2.5560283555174982e-108
3,crunchy,1.5524035856964388e-67
4,crunchy,4.433298477779075e-75
5,crunchy,2.6330780319947775e-82
6,crunchy,7.759897204099975e-73
7,crunchy,1.1208814859150505e-71
8,crunchy,2.8027683618261504e-73
9,crunchy,1.020886634283672e-77
10,crunchy,0.035000291166815814
1,lettuce,2.647211168540476e-29
2,lettuce,1.628772343304846e-29
3,lettuce,1.173849458615529e-8
4,lettuce,2.629979310771325e-6
5,lettuce,0.044423741762070104
6,lettuce,0.027345423776007564
7,lettuce,1.3437657423962147e-4
8,lettuce,0.04080434460100013
9,lettuce,3.9073011021956047e-4
10,lettuce,0.06411964589469102
1,tortilla,0.0841117472238628
2,tortilla,0.031526461776396
3,tortilla,0.018321835022308466
4,tortilla,0.014364110613969474
5,tortilla,0.0046106402946293566
6,tortilla,0.03245569092098738
7,tortilla,9.151323229932341e-4
8,tortilla,0.002433543999282672
9,tortilla,1.39564063472517e-4
10,tortilla,0.05778434489001736
1,american,4.670273912958129e-50
2,american,9.150742304991641e-57
3,american,9.45322951412049e-79
4,american,2.1825153184544948e-72
5,american,2.0967877455412332e-75
6,american,1.3458070196586301e-71
7,american,3.311370042689477e-86
8,american,4.8828226708691124e-55
9,american,1.3200269653896334e-80
10,american,0.02499622705146002
1,beef,1.3714159592662128e-4
2,beef,9.516466459724796e-34
3,beef,2.450522614801846e-4
4,beef,3.1129500976359426e-10
5,beef,2.3638298518177183e-18
6,beef,0.03816990216889285
7,beef,2.818026841158887e-19
8,beef,1.5212223611019629e-7
9,beef,0.011391104402617095
10,beef,0.061918404546788396
1,corn,5.138406292797685e-13
2,corn,4.3270272729873576e-33
3,corn,0.015417127407976416
4,corn,0.027435600374943483
5,corn,3.1095004591229254e-17
6,corn,0.0037955467553812757
7,corn,0.03251345264743097
8,corn,1.2450165315373175e-13
9,corn,0.008723990898424098
10,corn,0.0405040599817731
1,spicy,3.494230707239051e-5
2,spicy,2.0546631519674934e-31
3,spicy,0.006334431995382573
4,spicy,0.007928105610107488
5,spicy,7.149224210110519e-23
6,spicy,6.272211743642226e-16
7,spicy,0.0054503064692649535
8,spicy,7.503072307992613e-4
9,spicy,0.0056292576346433695
10,spicy,0.02955406468291898
1,crisp,2.588753310153976e-42
2,crisp,2.7109159786508873e-35
3,crisp,2.948552715474551e-23
4,crisp,5.546445800957727e-28
5,crisp,1.1475272808230371e-23
6,crisp,1.532242881699947e-10
7,crisp,8.551313559490732e-27
8,crisp,4.3448912934352134e-23
9,crisp,9.015634115958286e-27
10,crisp,0.021624383512638568
1,fresh,2.6900988791324514e-14
2,fresh,1.9100157833082864e-11
3,fresh,6.032337448057621e-13
4,fresh,9.56226585560366e-12
5,fresh,0.017009281870891464
6,fresh,0.0038948317903920384
7,fresh,0.13750915451595597
8,fresh,0.0012642159095749364
9,fresh,5.26517160348291e-8
10,fresh,1.4034476702095675e-17
1,filled,2.7668042428003508e-27
2,filled,8.692542837623076e-17
3,filled,2.381944418893518e-17
4,filled,0.01189555207136704
5,filled,6.878860734964093e-23
6,filled,0.01891616279822261
7,filled,5.680595934865974e-19
8,filled,4.1571382819632973e-17
9,filled,6.439549240146229e-12
10,filled,0.019324040476972268
1,fresca,1.5645755176264115e-7
2,fresca,1.9353063214158042e-64
3,fresca,2.059582955547635e-34
4,fresca,3.865049057750104e-32
5,fresca,0.06983965384760107
6,fresca,2.3858604366064596e-26
7,fresca,3.551189395575801e-35
8,fresca,2.0751923421748743e-42
9,fresca,1.277007957881593e-39
10,fresca,3.0624923303420816e-67
1,steak,6.050877377299034e-38
2,steak,0.0526414241828192
3,steak,3.1085588174922534e-18
4,steak,1.9633405869979172e-19
5,steak,0.06786930430101246
6,steak,3.973374040305627e-6
7,steak,1.9343313450638461e-25
8,steak,4.436310274049282e-27
9,steak,0.045309980040891595
10,steak,0.0028764922510443013
1,cheddar,6.995502530972465e-11
2,cheddar,0.04475007376356175
3,cheddar,1.4766837859075384e-13
4,cheddar,6.6170209474228475e-9
5,cheddar,3.7690885861778545e-17
6,cheddar,3.850749569041472e-7
7,cheddar,7.471266349534455e-16
8,cheddar,0.06036030592059472
9,cheddar,4.2502837494496823e-4
10,cheddar,0.037232366487484944
1,real,2.3510884527958864e-36
2,real,6.524961009902534e-145
3,real,3.95718463037373e-123
4,real,2.8131073621227967e-95
5,real,2.100453181891929e-127
6,real,8.059808495584873e-43
7,real,1.7359445609903473e-53
8,real,4.221369517800766e-83
9,real,1.1545126798761043e-102
10,real,0.021094920711209848
1,lime,7.815080642056067e-40
2,lime,1.9412919672392845e-53
3,lime,5.1148008686009234e-5
4,lime,3.6804290351700223e-10
5,lime,6.358038663651406e-25
6,lime,3.4501670831854505e-24
7,lime,0.06904218785384081
8,lime,7.306631919575942e-4
9,lime,1.8109977786419816e-18
10,lime,3.017388083242339e-5
1,soft,0.056147514715702625
2,soft,7.983538122590874e-34
3,soft,3.633538873410062e-13
4,soft,0.014161755127340624
